Time (s),C1 (pF),C2 (pF)
0.03,22.4251,22.426
0.06,22.503,22.4779
0.09,22.567,22.5568
0.12,22.6282,22.6234
0.15,22.68715,22.6795
0.18,22.72763,22.73514
0.21,22.76542,22.77723
0.24,22.79937,22.81605
0.27,22.83677,22.8427
0.3,22.87723,22.8701
0.33,22.90845,22.89569
0.36,22.94041,22.91707
0.39,22.96211,22.94117
0.42,22.98166,22.96488
0.45,23.00224,22.98849
0.48,23.01909,23.00729
0.51,23.04058,23.02548
0.54,23.06552,23.04192
0.57,23.08224,23.06473
0.6,23.09062,23.07598
0.63,23.10597,23.08797
0.66,23.11919,23.10213
0.69,23.13768,23.12198
0.72,23.15446,23.14001
0.75,23.16767,23.16243
0.78,23.17259,23.1666
0.81,23.18652,23.1779
0.84,23.19502,23.18494
0.87,23.2031,23.19249
0.9,23.2032,23.19852
0.93,23.21589,23.20807
0.96,23.23391,23.21108
0.99,23.24878,23.22255
01.02,23.25332,23.23242
01.05,23.25637,23.23996
01.08,23.25012,23.24529
1.11,23.25008,23.24988
1.14,23.25722,23.24766
1.17,23.26833,23.24574
1.2,23.27832,23.25918
1.23,23.28788,23.26701
1.26,23.2867,23.26744
1.29,23.28993,23.27549
1.32,23.29075,23.27109
1.35,23.30082,23.27062
1.38,23.31062,23.2803
1.41,23.31192,23.29033
1.44,23.31396,23.29236
1.47,23.32269,23.29976
1.5,23.31747,23.29715
1.53,23.32322,23.30574
1.56,23.33224,23.31124
1.59,23.33686,23.31554
1.62,23.34193,23.32549
1.65,23.3425,23.32854
1.68,23.33349,23.32906
1.71,23.33423,23.33285
1.74,23.32999,23.32391
1.77,23.33979,23.31608
1.8,23.34336,23.31893
1.83,23.34678,23.3201
1.86,23.33904,23.32817
1.89,23.33742,23.33081
1.92,23.33304,23.3243
1.95,23.33931,23.31937
1.98,23.34111,23.32396
02.01,23.34837,23.32998
02.04,23.343,23.34056
02.07,23.3424,23.34346
2.1,23.34654,23.34153
2.13,23.35117,23.3347
2.16,23.35228,23.33336
2.19,23.35642,23.3333
2.22,23.35615,23.33816
2.25,23.35923,23.34308
2.28,23.35841,23.34874
2.31,23.35803,23.35264
2.34,23.35967,23.35714
2.37,23.36715,23.36406
2.4,23.36998,23.36479
2.43,23.37459,23.3649
2.46,23.37033,23.36707
2.49,23.36412,23.36202
2.52,23.36588,23.35729
2.55,23.36746,23.35782
2.58,23.36829,23.352
2.61,23.37015,23.35692
2.64,23.3708,23.36616
2.67,23.36613,23.3638
2.7,23.37351,23.36101
