Time (s),C1 (pF),C2 (pF)
2.73,23.37099,23.36118
2.76,23.37157,23.35536
2.79,23.36718,23.35708
2.82,23.36973,23.36185
2.85,23.37202,23.37044
2.88,23.37648,23.37695
2.91,23.37692,23.37386
2.94,23.3825,23.37086
2.97,23.37925,23.36552
3,23.37755,23.36471
03.03,23.37672,23.37377
03.06,23.36755,23.37638
03.09,23.36556,23.3742
3.12,23.37602,23.38014
3.15,23.38313,23.37533
3.18,23.38226,23.37147
3.21,23.38183,23.36772
3.24,23.37756,23.36994
3.27,23.37154,23.37387
3.3,23.36847,23.38153
3.33,23.37127,23.38271
3.36,23.37647,23.37942
3.39,23.37883,23.37432
3.42,23.3831,23.37277
3.45,23.389,23.3667
3.48,23.39207,23.36807
3.51,23.39335,23.37307
3.54,23.39977,23.37512
3.57,23.39672,23.38127
3.6,23.39223,23.37356
3.63,23.39429,23.36924
3.66,23.39584,23.37161
3.69,23.39408,23.36829
3.72,23.39453,23.37078
3.75,23.38593,23.38262
3.78,23.38148,23.38315
3.81,23.3839,23.38763
3.84,23.38664,23.38604
3.87,23.3904,23.37655
3.9,23.39039,23.37576
3.93,23.38184,23.38701
3.96,23.38438,23.38864
3.99,23.39033,23.39055
04.02,23.4004,23.38845
04.05,23.39983,23.38126
04.08,23.39528,23.37964
4.11,23.38742,23.38662
4.14,23.39234,23.38907
4.17,23.39213,23.3956
4.2,23.39447,23.39738
4.23,23.38984,23.38639
4.26,23.38894,23.37614
4.29,23.38226,23.37139
4.32,23.38399,23.37468
4.35,23.38919,23.39082
4.38,23.38985,23.39354
4.41,23.39457,23.38665
4.44,23.39703,23.38632
4.47,23.38862,23.38817
4.5,23.38982,23.39224
4.53,23.39744,23.39724
4.56,23.39974,23.38891
4.59,23.40042,23.38724
4.62,23.40322,23.38926
4.65,23.39733,23.38954
4.68,23.39576,23.39017
4.71,23.39502,23.38408
4.74,23.39819,23.3803
4.77,23.39656,23.38442
4.8,23.39876,23.38703
4.83,23.401,23.39022
4.86,23.40552,23.39436
4.89,23.40379,23.39498
4.92,23.40583,23.39458
4.95,23.40132,23.39599
4.98,23.39712,23.39859
05.01,23.40063,23.39569
05.04,23.40141,23.39007
05.07,23.39913,23.38621
5.1,23.39926,23.38344
5.13,23.40032,23.38833
5.16,23.40329,23.38894
5.19,23.40325,23.38735
5.22,23.40445,23.39301
5.25,23.41103,23.39806
5.28,23.4107,23.39526
5.31,23.41063,23.39494
5.34,23.41354,23.39218
5.37,23.40441,23.39084
5.4,23.40328,23.39809
5.43,23.40525,23.40301
5.46,23.4039,23.40554
5.49,23.40848,23.39652
5.52,23.41111,23.39776
5.55,23.408,23.39156
5.58,23.40646,23.3901
5.61,23.398,23.39384
5.64,23.39948,23.40331
5.67,23.40053,23.39866
5.7,23.40101,23.4001
5.73,23.40773,23.39324
5.76,23.4087,23.39255
5.79,23.40334,23.39542
5.82,23.40372,23.40124
5.85,23.39631,23.404
5.88,23.39868,23.40979
5.91,23.40786,23.41327
5.94,23.4105,23.41723
5.97,23.4187,23.41416
6,23.3936,23.4185
