Time (s),C1 (pF),C2 (pF)
0.015,39.4906,39.494
0.03,39.6199,39.6224
0.045,39.7266,39.7307
0.06,39.8222,39.8248
0.075,39.902,39.9059
0.09,39.972,39.9769
0.105,40.0367,40.0415
0.12,40.0922,40.0974
0.135,40.1398,40.1442
0.15,40.1858,40.1885
0.165,40.225,40.2287
0.18,40.2601,40.2613
0.195,40.2876,40.292
0.21,40.3172,40.32
0.225,40.34,40.3453
0.24,40.3614,40.367
0.255,40.3826,40.3876
0.27,40.3993,40.4042
0.285,40.4159,40.422
0.3,40.4305,40.4361
0.315,40.4424,40.4473
0.33,40.4533,40.4589
0.345,40.4663,40.4691
0.36,40.4738,40.4783
0.375,40.4816,40.4865
0.39,40.4903,40.4944
0.405,40.4956,40.5018
0.42,40.5032,40.508
0.435,40.5084,40.5128
0.45,40.5126,40.5183
0.465,40.5197,40.5249
0.48,40.5232,40.5274
0.495,40.5279,40.5312
0.51,40.5291,40.5338
0.525,40.5337,40.5375
0.54,40.5373,40.5407
0.555,40.5399,40.5421
0.57,40.5433,40.5475
0.585,40.5471,40.5508
0.6,40.5452,40.5526
0.615,40.5485,40.5543
0.63,40.5539,40.5558
0.645,40.5527,40.5581
0.66,40.5546,40.5611
0.675,40.5567,40.5614
0.69,40.5578,40.563
0.705,40.561,40.5643
0.72,40.5614,40.5652
0.735,40.5643,40.5679
0.75,40.5654,40.5686
0.765,40.5643,40.5711
0.78,40.5658,40.5711
0.795,40.5693,40.5719
0.81,40.5679,40.5724
0.825,40.5715,40.5741
0.84,40.5718,40.5758
0.855,40.5735,40.5759
0.87,40.5736,40.5779
0.885,40.5741,40.5785
0.9,40.5763,40.5777
0.915,40.5758,40.5799
0.93,40.576,40.5805
0.945,40.5766,40.5823
0.96,40.5766,40.5836
0.975,40.5781,40.5826
0.99,40.579,40.5835
1.005,40.5805,40.584
01.02,40.5804,40.5865
1.035,40.5815,40.5861
01.05,40.5833,40.5869
1.065,40.5842,40.5886
01.08,40.5835,40.5889
1.095,40.5867,40.59
1.11,40.5873,40.5904
1.125,40.5861,40.5904
1.14,40.5854,40.5922
1.155,40.587,40.592
1.17,40.5903,40.5913
1.185,40.5913,40.5937
1.2,40.5889,40.5962
1.215,40.5902,40.5949
1.23,40.592,40.5951
1.245,40.5923,40.594
1.26,40.5929,40.5976
1.275,40.592,40.5971
1.29,40.5938,40.5986
1.305,40.5954,40.5979
1.32,40.594,40.5996
1.335,40.5966,40.6002
1.35,40.5968,40.6016
1.365,40.5974,40.6026
1.38,40.5999,40.6021
1.395,40.5984,40.6034
1.41,40.5995,40.6015
1.425,40.5994,40.6042
1.44,40.5994,40.6055
1.455,40.6011,40.6051
1.47,40.6026,40.6064
1.485,40.6024,40.6066
1.5,40.6008,40.6062
1.515,40.603,40.6074
1.53,40.6058,40.6081
1.545,40.6066,40.6093
1.56,40.6071,40.6094
1.575,40.6051,40.6108
1.59,40.6057,40.6116
1.605,40.6055,40.6107
1.62,40.6067,40.6124
1.635,40.6087,40.6117
1.65,40.6119,40.6149
1.665,40.6088,40.6132
1.68,40.6101,40.613
1.695,40.6118,40.6151
1.71,40.6122,40.6162
1.725,40.612,40.616
1.74,40.612,40.6163
1.755,40.6129,40.6186
1.77,40.6138,40.6184
1.785,40.615,40.6186
1.8,40.6159,40.6184
1.815,40.6156,40.6192
1.83,40.6161,40.6196
1.845,40.6176,40.6226
1.86,40.6188,40.6215
1.875,40.6177,40.6199
1.89,40.619,40.6227
1.905,40.6197,40.6246
1.92,40.6198,40.6224
1.935,40.6214,40.6238
1.95,40.6203,40.6271
1.965,40.6221,40.6252
1.98,40.6224,40.6256
1.995,40.6216,40.6264
02.01,40.6216,40.6279
2.025,40.6238,40.6281
02.04,40.6237,40.6299
2.055,40.6257,40.62979
02.07,40.6253,40.6282
2.085,40.6246,40.6304
2.1,40.6255,40.6302
2.115,40.6281,40.6303
2.13,40.6283,40.6326
2.145,40.62979,40.63231
2.16,40.6287,40.63391
2.175,40.6281,40.63099
2.19,40.6304,40.6335
2.205,40.6313,40.6335
2.22,40.6307,40.6365
2.235,40.6324,40.636
2.25,40.6324,40.6359
2.265,40.6331,40.6362
2.28,40.6334,40.6386
2.295,40.6341,40.6393
2.31,40.6344,40.6378
2.325,40.6352,40.6386
2.34,40.63741,40.6394
2.355,40.63371,40.64
2.37,40.63731,40.64271
2.385,40.63491,40.6406
2.4,40.6372,40.64121
2.415,40.6401,40.6402
2.43,40.63981,40.64251
2.445,40.63719,40.64179
2.46,40.6395,40.6447
2.475,40.64,40.6456
2.49,40.64089,40.64549
2.505,40.6394,40.6442
2.52,40.64149,40.64769
2.535,40.64032,40.64492
2.55,40.6423,40.6468
2.565,40.6426,40.6487
2.58,40.6443,40.64839
2.595,40.64519,40.6494
2.61,40.64171,40.6489
2.625,40.64511,40.65001
2.64,40.6456,40.6488
2.655,40.6463,40.65131
2.67,40.6474,40.6503
2.685,40.64918,40.6505
2.7,40.6479,40.6513
2.715,40.6464,40.6518
2.73,40.6479,40.6518
2.745,40.64981,40.6525
2.76,40.64898,40.6534
2.775,40.65159,40.6551
2.79,40.6523,40.65599
2.805,40.6521,40.6541
2.82,40.6529,40.6552
2.835,40.6523,40.6554
2.85,40.65231,40.6563
2.865,40.6533,40.6569
2.88,40.65127,40.6573
2.895,40.65497,40.65828
2.91,40.65269,40.65669
2.925,40.65441,40.65789
2.94,40.6544,40.6613
2.955,40.6554,40.6616
2.97,40.6559,40.6599
2.985,40.65462,40.66059
3,40.6572,40.6606
