0,35	55,7786
0,7	55,7933
1,05	55,8012
1,4	55,8066
1,75	55,8096
2,1	55,8126
2,45	55,815
2,8	55,8164
3,15	55,8188
3,5	55,82
3,85	55,8217
4,2	55,8235
4,55	55,8243
4,9	55,8257
5,25	55,8275
5,6	55,8285
5,95	55,83
6,3	55,8314
6,65	55,8318
7	55,8334
7,35	55,8345
7,7	55,835
8,05	55,8368
8,4	55,8374
8,75	55,8386
9,1	55,8397
9,45	55,8401
9,8	55,8416
10,15	55,8425
10,5	55,8431
10,85	55,8442
11,2	55,8449
11,55	55,8457
11,9	55,8468
12,25	55,8471
12,6	55,8483
12,95	55,8492
13,3	55,8494
13,65	55,8509
14	55,8513
14,35	55,8518
14,7	55,853
15,05	55,8531
15,4	55,8542
15,75	55,8553
16,1	55,8554
16,45	55,8561
16,8	55,8568
17,15	55,857
17,5	55,8583
17,85	55,8588
18,2	55,8591
18,55	55,86
18,9	55,8602
19,25	55,8609
19,6	55,8617
19,95	55,8618
20,3	55,8626
20,65	55,863
21	55,863
21,35	55,8643
21,7	55,8643
22,05	55,8648
22,4	55,8656
22,75	55,8656
23,1	55,8665
23,45	55,8669
23,8	55,8669
24,15	55,8678
24,5	55,8678
24,85	55,8681
25,2	55,8689
25,55	55,8689
25,9	55,8695
26,25	55,8701
26,6	55,8698
26,95	55,8709
27,3	55,8709
27,65	55,8709
28	55,8719
28,35	55,8718
28,7	55,872
29,05	55,873
29,4	55,8727
29,75	55,8733
30,1	55,8737
30,45	55,8738
30,8	55,8744
31,15	55,8744
31,5	55,8742
31,85	55,875
32,2	55,8747
32,55	55,8752
32,9	55,8757
33,25	55,8757
33,6	55,8761
33,95	55,8764
34,3	55,8765
34,65	55,8773
35	55,8771
35,35	55,8773
35,7	55,878
36,05	55,8775
36,4	55,8782
36,75	55,8784
37,1	55,8784
37,45	55,8788
37,8	55,8786
38,15	55,879
38,5	55,8796
38,85	55,8792
39,2	55,8795
39,55	55,8801
39,9	55,8799
40,25	55,8803
40,6	55,8803
40,95	55,8802
41,3	55,8811
41,65	55,8808
42	55,8809
42,35	55,8816
42,7	55,8809
43,05	55,8815
43,4	55,8818
43,75	55,8815
44,1	55,8823
44,45	55,882
44,8	55,8821
45,15	55,8825
45,5	55,8822
45,85	55,8825
46,2	55,8829
46,55	55,8826
46,9	55,8832
47,25	55,883
47,6	55,8831
47,95	55,8836
48,3	55,8832
48,65	55,8832
49	55,8839
49,35	55,8833
49,7	55,8839
50,05	55,8841
50,4	55,8837
50,75	55,8842
51,1	55,8843
51,45	55,884
51,8	55,8847
52,15	55,8843
52,5	55,8845
52,85	55,8848
53,2	55,8845
53,55	55,885
53,9	55,885
54,25	55,8847
54,6	55,8855
54,95	55,8848
55,3	55,8851
55,65	55,8856
56	55,8851
56,35	55,8855
56,7	55,8858
57,05	55,8852
57,4	55,8858
57,75	55,8857
58,1	55,8856
58,45	55,8863
58,8	55,8859
59,15	55,8862
59,5	55,8864
59,85	55,8858
60,2	55,8862
60,55	55,8866
60,9	55,886
61,25	55,8867
61,6	55,8865
61,95	55,8866
62,3	55,8869
62,65	55,8864
63	55,8866
63,35	55,8871
63,7	55,8865
64,05	55,887
64,4	55,8869
64,75	55,8869
65,1	55,8875
65,45	55,8869
65,8	55,887
66,15	55,8874
66,5	55,887
66,85	55,887
67,2	55,8871
67,55	55,8869
67,9	55,8878
68,25	55,8873
68,6	55,887
68,95	55,8877
69,3	55,8874
69,65	55,8876
70	55,8878
